medicine_id_ndc,year_month,generic_medicine_name,brand_name,manufacturer_name,dosage_amount,dosage_unit,medication_form,order_unit_description,units_per_order_unit,is_order_unit_openable,price_per_unit_usd,beginning_inventory_units,units_received_this_month,ending_inventory_units,restock_events_count,units_used_this_month,average_daily_usage_units,monthly_usage_trend,usage_variability_flag,currently_backordered,available_suppliers,historically_stocked
89840-3803-78,2025-01,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,3290,2400,2760,5,2930,95,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-02,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,2760,2310,2387,4,2683,96,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-03,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,2387,2880,2285,3,2982,96,increasing,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-04,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,2285,5430,4306,3,3409,114,increasing,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-05,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,4306,2460,3325,3,3441,111,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-06,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,3325,4464,4307,3,3482,116,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-07,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,4307,4320,4858,3,3769,122,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-08,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,4858,3630,4366,4,4122,133,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-09,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,4366,4110,4557,4,3919,131,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-10,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,4557,4290,4622,3,4225,136,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-11,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,4622,3900,4011,3,4511,150,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
89840-3803-78,2025-12,ciprofloxacin,Ciprofloxacin ,Baxter,500.0,mg,tablets,bottle,30,True,0.96,4011,6360,5682,4,4689,151,stable,False,False,"McKesson, AmerisourceBergen, Cardinal",True
18675-4456-82,2025-01,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,587,850,769,4,668,22,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-02,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,769,575,604,3,740,26,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-03,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,604,650,781,4,473,15,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-04,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,781,225,597,4,409,14,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-05,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,597,225,408,4,414,13,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-06,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,408,1800,1100,3,1108,37,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-07,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,1100,30,670,2,460,15,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-08,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,670,225,495,4,400,13,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-09,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,495,575,584,3,486,16,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-10,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,584,450,586,5,448,14,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-11,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,586,550,474,5,662,22,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
18675-4456-82,2025-12,midazolam,MidazolamRelief,Teva,1.0,mg/ml,syringe,box,25,True,65.28,474,800,661,5,613,20,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
74686-2489-16,2025-01,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,8531,2040,4817,4,5754,186,stable,False,False,McKesson,True
74686-2489-16,2025-02,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,4817,5400,5512,5,4705,168,decreasing,False,False,McKesson,True
74686-2489-16,2025-03,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,5512,11520,6792,5,10240,330,increasing,False,False,McKesson,True
74686-2489-16,2025-04,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,6792,7200,9368,4,4624,154,decreasing,False,False,McKesson,True
74686-2489-16,2025-05,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,9368,0,5577,0,3791,122,decreasing,False,False,McKesson,True
74686-2489-16,2025-06,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,5577,2900,4300,4,4177,139,increasing,False,False,McKesson,True
74686-2489-16,2025-07,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,4300,4200,4723,5,3777,122,stable,False,False,McKesson,True
74686-2489-16,2025-08,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,4723,3840,5046,3,3517,113,stable,False,False,McKesson,True
74686-2489-16,2025-09,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,5046,840,2663,3,3223,107,stable,False,False,McKesson,True
74686-2489-16,2025-10,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,2663,3600,3226,3,3037,98,stable,False,False,McKesson,True
74686-2489-16,2025-11,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,3226,1877,2614,5,2489,83,decreasing,False,False,McKesson,True
74686-2489-16,2025-12,amlodipine,Amlodipine,Novartis,10.0,mg,tablets,bottle,120,True,0.51,2614,2640,2897,3,2357,76,stable,False,False,McKesson,True
99353-9797-44,2025-01,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,381,420,432,3,369,12,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-02,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,432,370,410,3,392,14,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-03,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,410,192,311,5,291,9,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-04,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,311,320,343,4,288,10,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-05,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,343,370,361,4,352,11,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-06,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,361,332,411,5,282,9,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-07,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,411,150,247,5,314,10,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-08,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,247,400,322,3,325,10,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-09,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,322,270,324,3,268,9,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-10,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,324,329,361,5,292,9,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-11,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,361,510,427,4,444,15,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
99353-9797-44,2025-12,azithromycin,Azithromycin ,Aurobindo,500.0,mg,powder,box,10,True,2.89,427,580,582,3,425,14,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
76540-4258-29,2025-01,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,1099,550,883,5,766,25,stable,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-02,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,883,1150,1122,3,911,33,increasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-03,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,1122,200,819,2,503,16,decreasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-04,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,819,550,716,3,653,22,increasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-05,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,716,550,661,4,605,20,stable,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-06,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,661,600,729,5,532,18,decreasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-07,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,729,650,781,4,598,19,increasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-08,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,781,450,696,4,535,17,decreasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-09,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,696,600,651,4,645,22,increasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-10,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,651,750,0,5,1668,54,increasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-11,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,0,2350,1505,5,845,28,decreasing,False,False,"McKesson, AmerisourceBergen",True
76540-4258-29,2025-12,cefazolin,CefazolinPro,Sandoz,1.0,g,injection_vials,box,50,True,48.72,1505,500,1141,3,864,28,stable,False,False,"McKesson, AmerisourceBergen",True
19071-9727-26,2025-01,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,588,1704,1252,4,1040,34,stable,False,False,AmerisourceBergen,True
19071-9727-26,2025-02,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,1252,240,727,3,765,27,decreasing,False,False,AmerisourceBergen,True
19071-9727-26,2025-03,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,727,552,739,5,540,17,decreasing,False,False,AmerisourceBergen,True
19071-9727-26,2025-04,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,739,360,474,4,625,21,increasing,False,False,AmerisourceBergen,True
19071-9727-26,2025-05,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,474,531,521,3,484,16,decreasing,False,False,AmerisourceBergen,True
19071-9727-26,2025-06,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,521,614,566,3,569,19,increasing,False,False,AmerisourceBergen,True
19071-9727-26,2025-07,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,566,336,439,5,463,15,decreasing,False,False,AmerisourceBergen,True
19071-9727-26,2025-08,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,439,696,632,4,503,16,stable,False,False,AmerisourceBergen,True
19071-9727-26,2025-09,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,632,528,637,3,523,17,stable,False,False,AmerisourceBergen,True
19071-9727-26,2025-10,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,637,696,728,4,605,20,increasing,False,False,AmerisourceBergen,True
19071-9727-26,2025-11,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,728,960,868,3,820,27,increasing,False,False,AmerisourceBergen,True
19071-9727-26,2025-12,ciprofloxacin,CiprofloxacinXR,Novartis,250.0,mg,iv_bags,bag,24,False,31.14,868,1056,1071,3,853,28,stable,False,False,AmerisourceBergen,True
95180-7118-66,2025-01,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,1219,50,686,2,583,19,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-02,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,686,563,734,5,515,18,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-03,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,734,650,760,3,624,20,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-04,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,760,750,805,3,705,24,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-05,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,805,650,781,5,674,22,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-06,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,781,600,621,5,760,25,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-07,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,621,750,688,5,683,22,decreasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-08,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,688,1050,853,3,885,29,increasing,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-09,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,853,950,933,5,870,29,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-10,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,933,1050,1078,3,905,29,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-11,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,1078,650,842,4,886,30,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
95180-7118-66,2025-12,meropenem,Meropenem,Fresenius Kabi,500.0,units/ml,injection_vials,box,50,True,22.48,842,1050,1028,4,864,28,stable,False,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-01,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,4008,1110,2504,3,2614,84,stable,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-02,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,2504,3600,2667,5,3437,123,increasing,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-03,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,2667,3210,3127,4,2750,89,decreasing,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-04,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,3127,5910,4949,5,4088,136,increasing,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-05,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,4949,1080,3235,3,2794,90,decreasing,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-06,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,3235,3240,3608,3,2867,96,stable,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-07,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,3608,4230,3819,3,4019,130,increasing,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-08,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,3819,6090,5475,4,4434,143,increasing,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-09,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,5475,2520,4483,5,3512,117,decreasing,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-10,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,4483,5160,5425,4,4218,136,increasing,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-11,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,5425,4230,5387,4,4268,142,stable,True,False,"Cardinal, McKesson, AmerisourceBergen",True
77391-4899-45,2025-12,lisinopril,Lisinopril,Teva,5.0,mg,tablets,bottle,30,True,0.59,5387,3060,4586,5,3861,125,stable,True,False,"Cardinal, McKesson, AmerisourceBergen",True
56438-7939-62,2025-01,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,389,24,196,2,217,7,stable,True,False,"AmerisourceBergen, McKesson",True
56438-7939-62,2025-02,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,196,144,172,3,168,6,decreasing,True,False,"AmerisourceBergen, McKesson",True
56438-7939-62,2025-03,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,172,840,509,4,503,16,increasing,True,False,"AmerisourceBergen, McKesson",True
56438-7939-62,2025-04,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,509,72,318,3,263,9,decreasing,True,False,"AmerisourceBergen, McKesson",True
56438-7939-62,2025-05,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,318,168,303,3,183,6,decreasing,True,False,"AmerisourceBergen, McKesson",True
56438-7939-62,2025-06,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,303,168,196,2,275,9,increasing,True,False,"AmerisourceBergen, McKesson",True
56438-7939-62,2025-07,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,196,288,267,4,217,7,decreasing,True,False,"AmerisourceBergen, McKesson",True
56438-7939-62,2025-08,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,267,141,192,2,216,7,stable,True,False,"AmerisourceBergen, McKesson",True
56438-7939-62,2025-09,dextrose,Dextrose,Lupin,5.0,g,iv_bags,bag,24,False,42.04,192,161,170,2,183,6,decreasing,True,False,"AmerisourceBergen, McKesson",True
