time_of_entry,medicine_id_ndc,generic_medicine_name,brand_name,manufacturer_name,dosage_amount,dosage_unit,medication_form,order_unit_description,units_per_order_unit,is_order_unit_openable,price_per_unit_usd,last_restock_date,restock_frequency,quantity_last_restock_units,current_on_hand_units,historically_stocked,currently_backordered,available_suppliers,stock_update_reason,daily_usage_avg_units,monthly_usage_total_units,high_usage_variability,is_anomaly,anomaly_type
2026-01-17 22:58:00,19287-9423-31,atorvastatin,Lipitor,Apotex Corp.,100.0,mg,aerosol,canister,1,false,33.17,2025-12-13,weekly,128,99,true,false,"Concordance, Medline",DISPENSED,11.5,345,false,false,
2026-01-16 19:54:00,56438-7939-53,linezolid,Zyvox,Pfizer Inc.,50.0,mg/ml,syringe,box,5,true,10.89,2025-12-08,weekly,72,10,true,false,"Cardinal Health, Henry Schein, McKesson",DISPENSED,5.03,151,false,false,
2026-01-17 14:01:00,68082-2604-07,lisinopril,Prinivil,Novartis Pharmaceuticals,2.0,mg/ml,syringe,box,50,true,59.33,2025-12-20,weekly,122,65,true,false,"Cardinal Health, McKesson, Medline",DISPENSED,8.97,269,false,false,
2026-01-18 00:32:00,47388-7930-90,lactated ringers,Lactated Ringer's,Janssen Pharmaceuticals,250.0,mg,topical,box,24,true,2.04,2025-12-08,weekly,649,246,true,true,McKesson,DISPENSED,46.83,1405,true,false,
2026-01-17 23:11:00,79615-3579-08,hydrochlorothiazide,Microzide,Sandoz Inc.,500.0,mg,capsule,box,10,true,0.16,2025-12-20,weekly,52,33,true,false,"Cardinal Health, Medline",DISPENSED,5.5,165,false,false,
2026-01-16 13:41:00,84085-9565-41,pregabalin,Lyrica,Amneal Pharmaceuticals,1000.0,mg,capsule,box,20,true,0.2,2025-12-08,weekly,113,116,true,false,McKesson,RECEIVED,14.0,420,false,false,
2026-01-18 06:04:00,23104-2200-69,carvedilol,Coreg,Accord Healthcare,1000.0,mg,capsule,bottle,120,true,0.51,2025-12-21,weekly,120,27,true,false,"Cardinal Health, Concordance, McKesson",DISPENSED,5.33,160,true,false,
2026-01-17 07:48:00,96951-2697-18,sodium chloride,Normal Saline,Zydus Pharmaceuticals,125.0,mcg,powder,vial,1,true,8.72,2025-12-22,weekly,983,572,true,false,Medline,DISPENSED,82.0,2460,false,false,
2026-01-17 14:57:00,22097-7939-36,fluconazole,Diflucan,Novartis Pharmaceuticals,0.5,g,powder,vial,1,true,92.89,2025-12-13,weekly,17,12,true,false,"Cardinal Health, Henry Schein",DISPENSED,1.97,59,false,false,
2026-01-16 15:41:00,86350-3426-56,carvedilol,Coreg,Dr. Reddy's Laboratories,25.0,mg/ml,injection_vials,vial,1,true,59.66,2025-12-14,weekly,111,65,true,false,"Henry Schein, McKesson, Medline",RECEIVED,8.23,247,false,false,
2026-01-16 19:04:00,64040-1406-23,linezolid,Zyvox,Viatris (Mylan),75.0,mcg,powder,box,25,true,25.77,2025-12-15,weekly,56,22,true,false,"Cardinal Health, Henry Schein, McKesson",DISPENSED,4.83,145,false,false,
2026-01-17 18:32:00,39219-1387-85,meropenem,Merrem,GlaxoSmithKline,100.0,mcg,topical,tube,1,true,6.43,2025-12-14,weekly,8,3,false,false,"Cardinal Health, Medline, Value Drug",DISPENSED,0.96,29,false,false,
2026-01-16 20:51:00,15014-2776-77,amiodarone,Cordarone,Novartis Pharmaceuticals,75.0,mg,tablets,bottle,180,true,0.27,2025-12-15,weekly,180,1,true,false,Concordance,DISPENSED,13.1,393,false,true,NEAR_STOCKOUT
2026-01-18 01:33:00,91678-6143-85,tramadol,Ultram,Eli Lilly and Company,100.0,mg,tablets,box,30,true,1.58,2025-12-07,weekly,128,65,true,false,"Cardinal Health, Medline",DISPENSED,10.1,303,false,false,
2026-01-18 08:59:00,81819-1006-39,lactated ringers,Lactated Ringer's,Amneal Pharmaceuticals,200.0,mcg,aerosol,canister,1,false,12.83,2025-12-15,weekly,342,292,true,false,AmerisourceBergen,RECEIVED,26.7,801,false,false,
2026-01-16 18:18:00,22240-4848-87,diazepam,Valium,GlaxoSmithKline,25.0,mg/ml,iv_bags,bag,1,false,61.81,2025-12-20,weekly,81,32,true,false,McKesson,DISPENSED,9.63,289,false,false,
2026-01-17 01:14:00,62383-4997-19,liraglutide,Victoza,B. Braun Medical,50.0,mcg/ml,iv_bags,case,6,false,54.2,2025-12-21,weekly,65,16,true,false,Medline,DISPENSED,7.77,233,false,false,
2026-01-16 19:30:00,79616-6198-97,clindamycin,Cleocin,Baxter Healthcare,500.0,units/ml,eye_drops,box,24,true,21.37,2025-12-08,weekly,34,11,true,false,"AmerisourceBergen, Concordance",DISPENSED,2.47,74,false,false,
2026-01-16 16:08:00,92149-4919-36,famotidine,Pepcid,Takeda Pharmaceuticals,300.0,mg,tablets,bottle,120,true,2.18,2025-12-21,weekly,123,76,true,false,"AmerisourceBergen, Cardinal Health, McKesson",DISPENSED,12.17,365,false,false,
2026-01-18 01:48:00,10772-6763-39,potassium chloride,Klor-Con,Takeda Pharmaceuticals,50.0,mcg/ml,syringe,box,25,true,39.63,2025-12-08,weekly,25,15,true,false,"Henry Schein, Medline",DISPENSED,1.93,58,false,false,
2026-01-18 10:25:00,31632-8657-17,latanoprost,Xalatan,Zydus Pharmaceuticals,150.0,mg,topical,box,24,true,10.73,2025-12-21,weekly,24,9,true,false,"McKesson, Medline",DISPENSED,1.33,40,false,false,
2026-01-18 11:03:00,54236-7211-36,fluconazole,Diflucan,Sanofi,100.0,mg,tablets,box,50,true,1.52,2025-12-13,weekly,50,18,true,false,"Henry Schein, McKesson",DISPENSED,3.6,108,false,false,
2026-01-18 04:39:00,36130-1333-80,sodium chloride,Normal Saline,Takeda Pharmaceuticals,50.0,mg,powder,vial,1,true,14.19,2025-12-21,weekly,819,488,true,false,"McKesson, Medline",DISPENSED,67.53,2026,false,false,
2026-01-17 05:05:00,24168-1420-40,verapamil,Calan,Takeda Pharmaceuticals,125.0,mcg,capsule,bottle,240,true,0.28,2025-12-15,weekly,240,62,true,false,"Cardinal Health, Henry Schein",DISPENSED,18.03,541,false,false,
2026-01-18 00:11:00,19038-9289-83,clindamycin,Cleocin,Eli Lilly and Company,25.0,mg/ml,eye_drops,bottle,1,true,17.55,2025-12-14,weekly,9,6,true,false,Value Drug,RECEIVED,0.77,23,false,false,
2026-01-18 00:02:00,90728-9817-62,lorazepam,Ativan,Alcon,75.0,mg,tablets,bottle,120,true,0.53,2025-12-13,weekly,120,17,true,false,"Cardinal Health, Concordance, McKesson",DISPENSED,2.9,87,false,false,
2026-01-17 05:51:00,56507-5232-44,amiodarone,Cordarone,Sanofi,10.0,mg/ml,injection_vials,vial,1,true,18.69,2025-12-08,weekly,33,22,true,false,"AmerisourceBergen, Cardinal Health, McKesson",DISPENSED,3.13,94,false,false,
2026-01-17 05:07:00,12260-2524-38,escitalopram,Lexapro,Lupin Pharmaceuticals,250.0,mg,powder,vial,1,true,5.95,2025-12-06,weekly,22,8,true,false,AmerisourceBergen,DISPENSED,2.4,72,false,false,
2026-01-17 09:29:00,50189-5118-30,oseltamivir,Tamiflu,Eli Lilly and Company,75.0,mg,capsule,bottle,100,true,0.1,2025-12-13,weekly,164,66,true,false,"Medline, Value Drug",DISPENSED,11.73,352,false,false,
2026-01-17 23:09:00,39816-6912-23,prednisone,Deltasone,Pfizer Inc.,125.0,mcg,tablets,bottle,1000,true,1.13,2025-12-21,weekly,1000,2,false,false,McKesson,DISPENSED,0.71,21,false,false,
2026-01-17 22:48:00,72746-8216-44,morphine sulfate,Duramorph,Teva Pharmaceuticals,300.0,mg,capsule,bottle,30,true,0.98,2025-12-14,weekly,92,22,true,false,McKesson,DISPENSED,8.2,246,false,false,
2026-01-16 22:04:00,42530-2940-72,dexamethasone,Decadron,Sun Pharmaceutical,10.0,units/ml,iv_bags,case,24,false,29.65,2025-12-08,weekly,98,104,true,false,Cardinal Health,RECEIVED,11.83,355,false,false,
2026-01-18 11:25:00,23006-4404-81,lisinopril,Zestril,Sun Pharmaceutical,100.0,mcg/ml,iv_bags,bag,1,false,24.53,2025-12-06,weekly,57,3,true,true,McKesson,DISPENSED,6.5,195,false,true,NEAR_STOCKOUT
2026-01-17 22:10:00,19329-4824-34,epinephrine,EpiPen,B. Braun Medical,250.0,mg,topical,box,24,true,1.46,2025-12-08,weekly,34,25,true,false,"Cardinal Health, Henry Schein, McKesson",RECEIVED,4.93,148,true,true,USAGE_SPIKE
2026-01-17 18:26:00,67377-2317-77,glipizide,Glucotrol,Novartis Pharmaceuticals,300.0,mg,powder,vial,1,true,9.27,2025-12-15,weekly,30,20,false,false,Cardinal Health,RECEIVED,3.6,108,false,false,
2026-01-16 22:54:00,85529-1659-98,piperacillin-tazobactam,Zosyn,Takeda Pharmaceuticals,20.0,mcg/ml,syringe,box,25,true,12.76,2025-12-08,weekly,83,78,true,false,"McKesson, Value Drug",WASTE,8.97,269,false,false,
2026-01-18 09:02:00,31079-6403-53,metoprolol,Toprol-XL,Hikma Pharmaceuticals,12.5,mg,capsule,bottle,120,true,0.87,2025-12-07,weekly,120,17,false,false,"AmerisourceBergen, Cardinal Health",DISPENSED,4.1,123,true,false,
2026-01-17 14:54:00,64165-1888-25,naloxone,Narcan,Zydus Pharmaceuticals,100.0,units/ml,eye_drops,bottle,1,true,39.14,2025-12-07,weekly,228,85,true,false,"AmerisourceBergen, McKesson",DISPENSED,16.2,486,false,false,
2026-01-17 23:30:00,30758-6091-71,clindamycin,Cleocin,Lupin Pharmaceuticals,50.0,mg,topical,tube,1,true,6.43,2025-12-13,weekly,5,4,false,false,Henry Schein,DISPENSED,2.23,67,true,true,USAGE_SPIKE
2026-01-17 21:46:00,41946-8483-71,vasopressin,Vasostrict,Hikma Pharmaceuticals,100.0,units/ml,eye_drops,bottle,1,true,12.45,2025-12-22,weekly,59,52,true,false,"Cardinal Health, Concordance",RECEIVED,4.23,127,false,false,
2026-01-17 23:40:00,86931-9022-20,mycophenolate,CellCept,Teva Pharmaceuticals,80.0,mg,tablets,bottle,500,true,0.27,2025-12-14,weekly,500,8,true,false,"AmerisourceBergen, Cardinal Health",DISPENSED,6.57,197,true,true,USAGE_SPIKE
2026-01-18 05:04:00,74923-1606-17,metoprolol,Toprol-XL,Janssen Pharmaceuticals,20.0,mg,aerosol,canister,1,false,18.97,2025-12-07,weekly,194,142,true,false,"AmerisourceBergen, Cardinal Health, Medline",DISPENSED,16.3,489,false,false,
2026-01-17 20:07:00,53065-9742-49,fluconazole,Diflucan,Amneal Pharmaceuticals,10.0,mg,tablets,box,50,true,1.0,2025-12-06,weekly,61,66,true,false,"Cardinal Health, Medline",DISPENSED,7.07,212,false,false,
2026-01-18 01:08:00,13794-1753-42,ceftriaxone,Rocephin,Accord Healthcare,125.0,mcg,aerosol,box,12,false,140.43,2025-12-14,weekly,172,1,true,true,Cardinal Health,DISPENSED,16.93,508,false,true,NEAR_STOCKOUT
2026-01-17 00:36:00,40433-8555-82,tramadol,Ultram,Aurobindo Pharma,1.0,g,tablets,bottle,120,true,0.27,2025-12-06,weekly,120,18,false,false,"AmerisourceBergen, Cardinal Health",WASTE,3.7,111,true,false,
2026-01-18 07:33:00,36111-7302-62,glipizide,Glucotrol,B. Braun Medical,80.0,mg,topical,tube,1,true,6.02,2025-12-15,weekly,22,13,true,true,"Cardinal Health, Medline",DISPENSED,10.4,312,true,true,USAGE_SPIKE
2026-01-16 14:22:00,89569-6772-29,apixaban,Eliquis,GlaxoSmithKline,50.0,mg,topical,tube,1,true,1.11,2025-12-07,weekly,12,10,true,false,"Henry Schein, Medline",DISPENSED,1.07,32,false,false,
2026-01-16 14:07:00,21813-5835-42,heparin,Heparin Sodium,Sandoz Inc.,75.0,mcg,aerosol,box,6,false,26.53,2025-12-20,weekly,95,42,true,false,"Cardinal Health, Concordance",DISPENSED,10.0,300,false,true,PRICE_OUTLIER
2026-01-17 20:25:00,71385-2233-19,midazolam,Versed,Alcon,50.0,mcg,capsule,box,20,true,1.16,2025-12-08,weekly,165,25,true,false,"AmerisourceBergen, Henry Schein",DISPENSED,13.9,417,false,false,
2026-01-17 20:22:00,86619-7242-82,clindamycin,Cleocin,Eli Lilly and Company,75.0,mg,topical,box,6,true,4.26,2025-12-06,weekly,75,21,true,false,"Medline, Value Drug",DISPENSED,6.03,181,false,false,
2026-01-17 19:56:00,25292-3290-06,sertraline,Zoloft,B. Braun Medical,50.0,mg/ml,syringe,syringe,1,true,56.66,2025-12-14,weekly,92,29,true,false,McKesson,DISPENSED,6.67,200,false,false,
2026-01-17 03:24:00,64379-2622-63,vancomycin,Vancocin,Sun Pharmaceutical,10.0,mcg/ml,syringe,box,20,true,16.75,2025-12-22,weekly,189,71,true,false,"Concordance, Medline",DISPENSED,13.47,404,false,false,
2026-01-16 18:39:00,26011-8450-12,sitagliptin,Januvia,Sandoz Inc.,40.0,mg,powder,box,50,true,34.69,2025-12-08,weekly,92,57,true,false,"Cardinal Health, McKesson, Value Drug",RECEIVED,7.67,230,false,false,
2026-01-18 11:34:00,53064-3417-77,oseltamivir,Tamiflu,Sun Pharmaceutical,50.0,mg,tablets,bottle,90,true,0.13,2025-12-22,weekly,100,74,true,false,McKesson,DISPENSED,8.63,259,false,false,
2026-01-18 03:12:00,26614-7897-68,escitalopram,Lexapro,Teva Pharmaceuticals,1.0,mg/ml,syringe,box,5,true,142.24,2025-12-14,weekly,5,1,false,false,"Cardinal Health, McKesson",DISPENSED,0.3,9,false,false,
2026-01-17 16:20:00,17972-8847-52,spironolactone,Aldactone,Accord Healthcare,2.5,mg,powder,vial,1,true,28.55,2025-12-21,weekly,24,14,true,false,"AmerisourceBergen, Concordance",DISPENSED,2.1,63,false,false,
2026-01-16 12:35:00,48652-8433-65,rivaroxaban,Xarelto,Janssen Pharmaceuticals,4.0,g,powder,box,10,true,3.98,2025-12-06,weekly,119,101,true,false,"Henry Schein, Medline",DISPENSED,13.67,410,false,false,
2026-01-16 14:08:00,50966-7992-41,ibuprofen,Motrin,Janssen Pharmaceuticals,12.5,mg,tablets,bottle,180,true,0.04,2025-12-22,weekly,180,64,true,false,"Henry Schein, McKesson, Medline",DISPENSED,9.0,270,false,false,
2026-01-18 02:00:00,97207-7929-93,oxycodone,Roxicodone,Zydus Pharmaceuticals,25.0,mg/ml,iv_bags,bag,1,false,10.12,2025-12-15,weekly,91,54,true,false,McKesson,DISPENSED,11.3,339,false,false,
2026-01-16 17:03:00,85248-4705-55,cephalexin,Keflex,Dr. Reddy's Laboratories,75.0,mg,tablets,box,100,true,1.03,2025-12-08,weekly,100,1,true,true,"Concordance, McKesson",DISPENSED,6.9,207,false,true,NEAR_STOCKOUT
2026-01-16 13:29:00,84228-7566-09,ibuprofen,Motrin,Teva Pharmaceuticals,20.0,mg,topical,tube,1,true,5.02,2025-12-06,weekly,27,6,true,false,AmerisourceBergen,DISPENSED,2.53,76,false,false,
2026-01-17 03:04:00,21135-1861-20,heparin,Heparin Sodium,Takeda Pharmaceuticals,4.0,g,tablets,bottle,30,true,0.25,2025-12-06,weekly,42,47,true,false,Medline,DISPENSED,4.8,144,false,false,
2026-01-17 14:34:00,98895-8972-68,naloxone,Narcan,Eli Lilly and Company,20.0,mg/ml,injection_vials,box,10,true,9.19,2025-12-21,weekly,58,16,true,false,"AmerisourceBergen, Concordance, McKesson",DISPENSED,4.97,149,false,false,
2026-01-16 14:46:00,75570-6802-10,mupirocin,Bactroban,Hospira (Pfizer),10.0,mg/ml,eye_drops,bottle,1,true,42.51,2025-12-06,weekly,22,7,true,false,"AmerisourceBergen, McKesson",DISPENSED,2.2,66,false,false,
2026-01-17 09:18:00,52568-3815-80,sertraline,Zoloft,GlaxoSmithKline,2.5,mg,capsule,bottle,180,true,0.55,2025-12-21,weekly,180,19,true,false,"AmerisourceBergen, Cardinal Health, McKesson",DISPENSED,6.07,182,false,false,
2026-01-17 06:57:00,29358-4871-14,insulin glargine,Basaglar,Alcon,5.0,g,topical,tube,1,true,13.14,2025-12-20,weekly,34,7,true,false,"Henry Schein, Medline",DISPENSED,2.77,83,false,false,
2026-01-17 13:36:00,94278-6295-81,pantoprazole,Pantoloc,Zydus Pharmaceuticals,4.0,g,topical,tube,1,true,8.29,2025-12-13,weekly,80,45,true,false,"Henry Schein, Medline",DISPENSED,5.67,170,false,false,
2026-01-18 09:18:00,20057-2479-79,metformin,Glucophage,Sandoz Inc.,80.0,mg,tablets,bottle,240,true,0.45,2025-12-15,weekly,240,32,true,false,"Concordance, Henry Schein",DISPENSED,15.53,466,true,true,USAGE_SPIKE
2026-01-17 06:33:00,21053-9266-83,atorvastatin,Lipitor,Pfizer Inc.,100.0,mg,aerosol,canister,1,false,59.7,2025-12-22,weekly,41,31,true,false,"AmerisourceBergen, McKesson",DISPENSED,4.33,130,true,false,
2026-01-18 00:41:00,53213-2548-72,ibuprofen,Advil,Lupin Pharmaceuticals,10.0,mg,topical,tube,1,true,8.18,2025-12-14,weekly,51,37,true,false,"Concordance, Medline",DISPENSED,4.77,143,true,false,
2026-01-18 06:52:00,96787-7421-17,cyclosporine,Sandimmune,GlaxoSmithKline,500.0,units/ml,iv_bags,case,6,false,48.73,2025-12-15,weekly,103,5,true,false,"AmerisourceBergen, Medline",DISPENSED,9.43,283,false,true,NEAR_STOCKOUT
2026-01-18 05:51:00,38074-6598-99,lisinopril,Zestril,Teva Pharmaceuticals,25.0,mg,capsule,bottle,100,true,0.16,2025-12-20,weekly,268,232,true,false,"Concordance, Henry Schein, McKesson",RECEIVED,18.8,564,true,false,
2026-01-18 02:04:00,67366-1715-53,clindamycin phosphate,Cleocin Phosphate,Baxter Healthcare,5.0,mg/ml,injection_vials,box,25,true,54.4,2025-12-15,weekly,113,60,true,false,AmerisourceBergen,DISPENSED,8.73,262,false,false,
2026-01-18 03:27:00,67749-8564-99,metoprolol,Lopressor,Eli Lilly and Company,1000.0,mg,capsule,bottle,240,true,0.1,2025-12-08,weekly,311,201,true,false,McKesson,DISPENSED,21.33,640,false,false,
2026-01-17 02:41:00,77621-3042-37,midazolam,Versed,Dr. Reddy's Laboratories,5.0,g,tablets,bottle,90,true,0.19,2025-12-14,weekly,343,180,true,false,AmerisourceBergen,DISPENSED,26.77,803,false,false,
2026-01-17 10:57:00,40903-7326-11,insulin glargine,Lantus,Hikma Pharmaceuticals,25.0,mg/ml,syringe,box,5,true,71.45,2025-12-13,weekly,44,27,true,false,"AmerisourceBergen, McKesson, Medline",DISPENSED,17.33,520,true,true,USAGE_SPIKE
2026-01-18 04:25:00,81932-9647-55,acetaminophen,Tylenol,Teva Pharmaceuticals,20.0,mg,powder,vial,1,true,8.23,2025-12-13,weekly,61,44,true,false,McKesson,DISPENSED,7.4,222,false,false,
2026-01-17 09:47:00,85372-4963-92,ciprofloxacin,Cipro,Amneal Pharmaceuticals,500.0,mg,capsule,bottle,240,true,0.23,2025-12-22,weekly,240,139,true,false,"McKesson, Medline",WASTE,15.87,476,false,false,
2026-01-17 01:55:00,93318-7338-48,ondansetron,Zofran,Janssen Pharmaceuticals,10.0,units/ml,injection_vials,vial,1,true,257.81,2025-12-21,weekly,145,129,true,false,AmerisourceBergen,RECEIVED,15.07,452,false,false,
2026-01-18 03:32:00,94252-3868-88,hydromorphone,Dilaudid,Sandoz Inc.,100.0,mg,tablets,bottle,500,true,0.51,2025-12-06,weekly,500,115,true,false,Henry Schein,DISPENSED,13.33,400,true,false,
2026-01-17 16:29:00,62196-9897-61,dorzolamide,Trusopt,Sanofi,4.0,g,capsule,bottle,100,true,0.29,2025-12-14,weekly,100,24,true,false,"Cardinal Health, McKesson, Medline",DISPENSED,3.07,92,false,false,
2026-01-18 03:40:00,75211-7018-67,losartan,Cozaar,Sanofi,100.0,units/ml,injection_vials,vial,1,true,23.79,2025-12-22,weekly,8,6,true,false,"Cardinal Health, Value Drug",DISPENSED,0.93,28,false,false,
2026-01-17 06:06:00,31842-8272-45,hydrocortisone,Solu-Cortef,GlaxoSmithKline,50.0,mg/ml,injection_vials,box,50,true,90.86,2025-12-07,weekly,73,30,true,false,Value Drug,DISPENSED,5.07,152,true,false,
2026-01-17 00:12:00,14561-3068-09,isoniazid,Nydrazid,Teva Pharmaceuticals,100.0,mg/ml,syringe,box,20,true,38.67,2025-12-14,weekly,93,26,true,true,"Cardinal Health, Concordance, McKesson",DISPENSED,7.43,223,true,false,
2026-01-17 10:49:00,38124-5678-89,oxycodone,OxyContin,Novartis Pharmaceuticals,250.0,mg,capsule,box,50,true,0.25,2025-12-20,weekly,56,17,true,false,McKesson,WASTE,3.93,118,false,false,
2026-01-16 17:19:00,82089-9882-38,tramadol,Ultram,Zydus Pharmaceuticals,2.0,mg/ml,iv_bags,case,6,false,25.31,2025-12-08,weekly,134,54,true,false,"AmerisourceBergen, Cardinal Health, Medline",DISPENSED,9.73,292,false,false,
2026-01-18 05:44:00,71263-3126-79,mupirocin,Bactroban,Eli Lilly and Company,20.0,mcg/ml,eye_drops,box,6,true,7.11,2025-12-14,weekly,38,15,true,false,"AmerisourceBergen, Henry Schein, Medline",WASTE,2.93,88,false,false,
2026-01-16 14:30:00,26821-3981-99,sitagliptin,Januvia,Accord Healthcare,25.0,mg/ml,syringe,syringe,1,true,69.1,2025-12-15,weekly,10,10,false,false,"AmerisourceBergen, Cardinal Health, McKesson",RECEIVED,1.11,33,false,false,
2026-01-18 01:32:00,45972-3050-81,cefazolin,Ancef,Fresenius Kabi,750.0,mg,topical,tube,1,true,7.8,2025-12-06,weekly,16,14,true,false,"McKesson, Value Drug",RECEIVED,1.3,39,false,false,
2026-01-18 09:32:00,20646-1744-83,propofol,Diprivan,Sun Pharmaceutical,2.5,mg,tablets,box,30,true,0.71,2025-12-06,weekly,41,16,true,false,"Cardinal Health, Medline",DISPENSED,3.03,91,true,false,
2026-01-16 13:59:00,63227-5873-59,glipizide,Glucotrol,Viatris (Mylan),500.0,units/ml,syringe,box,5,true,27.31,2025-12-21,weekly,218,93,true,false,"Cardinal Health, McKesson",WASTE,21.93,658,false,true,USAGE_SPIKE
2026-01-17 08:54:00,45058-8366-32,naloxone,Narcan,Sanofi,50.0,mcg,aerosol,canister,1,false,30.38,2025-12-21,weekly,81,61,true,false,"Cardinal Health, Concordance, Value Drug",RECEIVED,7.7,231,false,false,
2026-01-17 19:49:00,77466-8648-64,warfarin,Jantoven,Fresenius Kabi,300.0,mg,powder,box,25,true,21.54,2025-12-20,weekly,25,10,true,false,"AmerisourceBergen, McKesson, Value Drug",DISPENSED,1.6,48,false,false,
2026-01-16 21:56:00,66482-3194-34,sodium chloride,Normal Saline,GlaxoSmithKline,50.0,mcg,aerosol,box,12,false,89.87,2025-12-13,weekly,693,365,true,false,"AmerisourceBergen, McKesson",RECEIVED,47.13,1414,true,false,
2026-01-18 11:31:00,58915-6555-72,furosemide,Lasix,Baxter Healthcare,100.0,units/ml,iv_bags,case,6,false,377.37,2025-12-22,weekly,97,40,true,false,"Cardinal Health, McKesson",DISPENSED,7.77,233,false,false,
2026-01-17 22:49:00,52987-6218-21,meropenem,Merrem,Amneal Pharmaceuticals,20.0,units/ml,injection_vials,box,50,true,117.84,2025-12-07,weekly,141,39,true,false,"AmerisourceBergen, Cardinal Health",DISPENSED,10.67,320,false,false,
2026-01-18 07:30:00,13492-8775-34,ciprofloxacin,Cipro,Sun Pharmaceutical,1000.0,mcg,aerosol,box,24,false,47.04,2025-12-06,weekly,24,5,true,false,"AmerisourceBergen, McKesson",RECEIVED,5.63,169,true,true,USAGE_SPIKE
2026-01-17 11:52:00,64890-3481-53,vancomycin,Vancocin,Fresenius Kabi,25.0,mg/ml,syringe,box,25,true,37.02,2025-12-08,weekly,107,60,true,false,"AmerisourceBergen, Henry Schein, McKesson",DISPENSED,8.47,254,false,false,
2026-01-18 10:11:00,70249-9734-44,spironolactone,Aldactone,Cipla USA,25.0,mg,tablets,bottle,120,true,0.18,2025-12-07,weekly,120,18,true,false,Cardinal Health,WASTE,7.77,233,true,true,USAGE_SPIKE
2026-01-17 20:22:00,45842-5715-16,vasopressin,Vasostrict,Sanofi,750.0,mg,capsule,bottle,1000,true,0.09,2025-12-14,weekly,1000,211,true,false,"Cardinal Health, Henry Schein, Medline",DISPENSED,31.97,959,false,false,
2026-01-18 09:44:00,83664-5450-18,midazolam,Versed,Fresenius Kabi,125.0,mcg,powder,vial,1,true,15.38,2025-12-08,weekly,92,39,true,false,McKesson,DISPENSED,8.1,243,true,false,
2026-01-16 12:40:00,99285-3252-01,ceftriaxone,Rocephin,Sanofi,12.5,mg,capsule,box,20,true,0.33,2025-12-15,weekly,167,175,true,false,"AmerisourceBergen, McKesson, Value Drug",RECEIVED,17.63,529,false,false,
